piggys,cost,taste
1,20,35
2,20,35
3,20,35
4,20,35
5,20,35
6,20,35
7,20,35
8,20,35
9,20,35
10,20,35
11,20,35
12,20,35
13,20,35
14,20,35
15,20,35
16,20,35
17,20,35
18,20,35
19,20,35
20,20,35
21,20,35
22,20,35
23,20,35
24,20,35
25,20,35
26,20,35
27,20,35
28,20,35
29,20,35
30,20,35
31,20,35
32,20,35
33,20,35
34,20,35
35,20,35
36,20,35
37,20,35
38,20,35
39,20,35
40,20,35
41,20,35
42,20,35
43,20,35
44,20,35
45,20,35
46,20,35
47,20,35
48,20,35
49,20,35
50,20,35
51,20,35
52,20,35
53,20,35
54,20,35
55,20,35
56,20,35
57,20,35
58,20,35
59,20,35
60,20,35
61,20,35
62,20,35
63,20,35
64,20,35
65,20,35
66,20,35
67,20,35
68,20,35
69,20,35
70,20,35
71,20,35
72,20,35
73,20,35
74,20,35
75,20,35
76,20,35
77,20,35
78,20,35
79,20,35
80,20,35
81,20,35
82,20,35
83,20,35
84,20,35
85,20,35
86,20,35
87,20,35
88,20,35
89,20,35
90,20,35
91,20,35
92,20,35
93,20,35
94,20,35
95,20,35
96,20,35
97,20,35
98,20,35
99,20,35
100,20,35
