piggy,cooldown,value,speed,hunger,hungerPerSecond,hungerBenchmark,hungerFactor,fedBenchmark,growth,love
1,8,1,1,100,2,20,2,50,100,0
2,8,1,1,100,2,20,2,50,100,0
3,8,1,1,100,2,20,2,50,100,0
4,8,1,1,100,2,20,2,50,100,0
5,8,1,1,100,2,20,2,50,100,0
6,8,1,1,100,2,20,2,50,100,0
7,8,1,1,100,2,20,2,50,100,0
8,8,1,1,100,2,20,2,50,100,0
9,8,1,1,100,2,20,2,50,100,0
10,8,1,1,100,2,20,2,50,100,0
11,8,1,1,100,2,20,2,50,100,0
12,8,1,1,100,2,20,2,50,100,0
13,8,1,1,100,2,20,2,50,100,0
14,8,1,1,100,2,20,2,50,100,0
15,8,1,1,100,2,20,2,50,100,0
16,8,1,1,100,2,20,2,50,100,0
17,8,1,1,100,2,20,2,50,100,0
18,8,1,1,100,2,20,2,50,100,0
19,8,1,1,100,2,20,2,50,100,0
20,8,1,1,100,2,20,2,50,100,0
21,8,1,1,100,2,20,2,50,100,0
22,8,1,1,100,2,20,2,50,100,0
23,8,1,1,100,2,20,2,50,100,0
24,8,1,1,100,2,20,2,50,100,0
25,8,1,1,100,2,20,2,50,100,0
26,8,1,1,100,2,20,2,50,100,0
27,8,1,1,100,2,20,2,50,100,0
28,8,1,1,100,2,20,2,50,100,0
29,8,1,1,100,2,20,2,50,100,0
30,8,1,1,100,2,20,2,50,100,0
31,8,1,1,100,2,20,2,50,100,0
32,8,1,1,100,2,20,2,50,100,0
33,8,1,1,100,2,20,2,50,100,0
34,8,1,1,100,2,20,2,50,100,0
35,8,1,1,100,2,20,2,50,100,0
36,8,1,1,100,2,20,2,50,100,0
37,8,1,1,100,2,20,2,50,100,0
38,8,1,1,100,2,20,2,50,100,0
39,8,1,1,100,2,20,2,50,100,0
40,8,1,1,100,2,20,2,50,100,0
41,8,1,1,100,2,20,2,50,100,0
42,8,1,1,100,2,20,2,50,100,0
43,8,1,1,100,2,20,2,50,100,0
44,8,1,1,100,2,20,2,50,100,0
45,8,1,1,100,2,20,2,50,100,0
46,8,1,1,100,2,20,2,50,100,0
47,8,1,1,100,2,20,2,50,100,0
48,8,1,1,100,2,20,2,50,100,0
49,8,1,1,100,2,20,2,50,100,0
50,8,1,1,100,2,20,2,50,100,0
51,8,1,1,100,2,20,2,50,100,0
52,8,1,1,100,2,20,2,50,100,0
53,8,1,1,100,2,20,2,50,100,0
54,8,1,1,100,2,20,2,50,100,0
55,8,1,1,100,2,20,2,50,100,0
56,8,1,1,100,2,20,2,50,100,0
57,8,1,1,100,2,20,2,50,100,0
58,8,1,1,100,2,20,2,50,100,0
59,8,1,1,100,2,20,2,50,100,0
60,8,1,1,100,2,20,2,50,100,0
61,8,1,1,100,2,20,2,50,100,0
62,8,1,1,100,2,20,2,50,100,0
63,8,1,1,100,2,20,2,50,100,0
64,8,1,1,100,2,20,2,50,100,0
65,8,1,1,100,2,20,2,50,100,0
66,8,1,1,100,2,20,2,50,100,0
67,8,1,1,100,2,20,2,50,100,0
68,8,1,1,100,2,20,2,50,100,0
69,8,1,1,100,2,20,2,50,100,0
70,8,1,1,100,2,20,2,50,100,0
71,8,1,1,100,2,20,2,50,100,0
72,8,1,1,100,2,20,2,50,100,0
73,8,1,1,100,2,20,2,50,100,0
74,8,1,1,100,2,20,2,50,100,0
75,8,1,1,100,2,20,2,50,100,0
76,8,1,1,100,2,20,2,50,100,0
77,8,1,1,100,2,20,2,50,100,0
78,8,1,1,100,2,20,2,50,100,0
79,8,1,1,100,2,20,2,50,100,0
80,8,1,1,100,2,20,2,50,100,0
81,8,1,1,100,2,20,2,50,100,0
82,8,1,1,100,2,20,2,50,100,0
83,8,1,1,100,2,20,2,50,100,0
84,8,1,1,100,2,20,2,50,100,0
85,8,1,1,100,2,20,2,50,100,0
86,8,1,1,100,2,20,2,50,100,0
87,8,1,1,100,2,20,2,50,100,0
88,8,1,1,100,2,20,2,50,100,0
89,8,1,1,100,2,20,2,50,100,0
90,8,1,1,100,2,20,2,50,100,0
91,8,1,1,100,2,20,2,50,100,0
92,8,1,1,100,2,20,2,50,100,0
93,8,1,1,100,2,20,2,50,100,0
94,8,1,1,100,2,20,2,50,100,0
95,8,1,1,100,2,20,2,50,100,0
96,8,1,1,100,2,20,2,50,100,0
97,8,1,1,100,2,20,2,50,100,0
98,8,1,1,100,2,20,2,50,100,0
99,8,1,1,100,2,20,2,50,100,0
100,8,1,1,100,2,20,2,50,100,0
